rep,alpha,draws,group,cells,damage_rate,median_support,median_boundary_excess
0,10.0,500,High certificate,0,,,
0,10.0,500,Boundary,5,0.5,4.0,0.06890230306186475
0,10.0,500,Unstable,22,0.3090909090909091,2.0,0.027660510326507605
1,10.0,500,High certificate,0,,,
1,10.0,500,Boundary,4,0.4788732394366197,4.5,0.05356088681303554
1,10.0,500,Unstable,23,0.4426229508196721,2.0,0.026333837272096698
2,10.0,500,High certificate,0,,,
2,10.0,500,Boundary,6,0.35714285714285715,3.0,0.08267960281091226
2,10.0,500,Unstable,21,0.25815217391304346,1.0,0.03576350249539684
3,10.0,500,High certificate,0,,,
3,10.0,500,Boundary,4,0.6829268292682927,5.5,0.08892926023210701
3,10.0,500,Unstable,23,0.39195979899497485,2.0,0.03135166217050137
4,10.0,500,High certificate,1,0.75,11.0,0.2374206218020061
4,10.0,500,Boundary,16,0.5656836461126006,0.5,0.10867511833880172
4,10.0,500,Unstable,10,0.4723618090452261,3.0,0.009255951906755254
5,10.0,500,High certificate,0,,,
5,10.0,500,Boundary,6,0.5042735042735043,2.0,0.06889025077234866
5,10.0,500,Unstable,21,0.28992628992628994,2.0,0.028399995401634213
6,10.0,500,High certificate,0,,,
6,10.0,500,Boundary,10,0.4377880184331797,2.0,0.0768085595527093
6,10.0,500,Unstable,17,0.403030303030303,3.0,0.030239423708616365
7,10.0,500,High certificate,0,,,
7,10.0,500,Boundary,7,0.48214285714285715,3.0,0.07205684495252428
7,10.0,500,Unstable,20,0.42992874109263657,2.0,0.03153002104903791
8,10.0,500,High certificate,0,,,
8,10.0,500,Boundary,3,0.37254901960784315,7.0,0.07677817385324968
8,10.0,500,Unstable,24,0.36065573770491804,2.0,0.031114308075584407
9,10.0,500,High certificate,0,,,
9,10.0,500,Boundary,5,0.4845360824742268,2.0,0.07031953583588271
9,10.0,500,Unstable,22,0.36561743341404357,2.5,0.03458250428246088
10,10.0,500,High certificate,1,0.8076923076923077,13.0,0.30289800991617444
10,10.0,500,Boundary,6,0.5338983050847458,2.0,0.08701680551858207
10,10.0,500,Unstable,20,0.24404761904761904,3.5,0.02777995870861638
11,10.0,500,High certificate,0,,,
11,10.0,500,Boundary,5,0.6835443037974683,7.0,0.08022827512983109
11,10.0,500,Unstable,22,0.4053333333333333,3.0,0.03130934867463547
12,10.0,500,High certificate,0,,,
12,10.0,500,Boundary,2,0.4634146341463415,7.5,0.06237006997230075
12,10.0,500,Unstable,25,0.38495575221238937,2.0,0.022295270497928114
13,10.0,500,High certificate,0,,,
13,10.0,500,Boundary,9,0.47878787878787876,3.0,0.10043920977307325
13,10.0,500,Unstable,18,0.3814102564102564,2.0,0.034363547978369414
14,10.0,500,High certificate,0,,,
14,10.0,500,Boundary,10,0.31155778894472363,2.5,0.0594268513173634
14,10.0,500,Unstable,17,0.26720647773279355,1.0,0.0367099871088698
15,10.0,500,High certificate,2,0.6538461538461539,4.5,0.2395609741713926
15,10.0,500,Boundary,14,0.49240121580547114,2.0,0.12399542764869506
15,10.0,500,Unstable,11,0.34594594594594597,6.0,0.010984000941604899
16,10.0,500,High certificate,2,0.7272727272727273,9.0,0.21507221856018482
16,10.0,500,Boundary,9,0.3620689655172414,0.0,0.07276703447157279
16,10.0,500,Unstable,16,0.2655172413793103,3.5,0.02983325322051335
17,10.0,500,High certificate,2,0.8,13.0,0.19953708794166805
17,10.0,500,Boundary,12,0.4263959390862944,2.0,0.09320773738017411
17,10.0,500,Unstable,13,0.2315270935960591,1.0,0.04389514161803204
18,10.0,500,High certificate,0,,,
18,10.0,500,Boundary,11,0.502283105022831,2.0,0.08197071457758154
18,10.0,500,Unstable,16,0.5197568389057751,1.0,0.03420227342742482
19,10.0,500,High certificate,0,,,
19,10.0,500,Boundary,12,0.5448028673835126,1.0,0.09186387676051336
19,10.0,500,Unstable,15,0.21722846441947566,2.0,0.027335742844397742
20,10.0,500,High certificate,1,0.6666666666666666,5.0,0.22657710439690956
20,10.0,500,Boundary,14,0.4139072847682119,2.0,0.10523068243615738
20,10.0,500,Unstable,12,0.39378238341968913,4.0,0.01876968533941583
21,10.0,500,High certificate,0,,,
21,10.0,500,Boundary,2,0.4888888888888889,1.5,0.060607711789281135
21,10.0,500,Unstable,25,0.4100877192982456,2.0,0.036314456479340125
22,10.0,500,High certificate,0,,,
22,10.0,500,Boundary,7,0.549618320610687,6.0,0.08577712353453346
22,10.0,500,Unstable,20,0.39800995024875624,2.0,0.03268530366740251
23,10.0,500,High certificate,0,,,
23,10.0,500,Boundary,4,0.5614035087719298,3.5,0.07608669564398646
23,10.0,500,Unstable,23,0.2707774798927614,1.0,0.031124973273891944
24,10.0,500,High certificate,0,,,
24,10.0,500,Boundary,3,0.37777777777777777,6.0,0.07727875478240498
24,10.0,500,Unstable,24,0.26288659793814434,2.0,0.030596619556844326
25,10.0,500,High certificate,0,,,
25,10.0,500,Boundary,9,0.5644171779141104,5.0,0.07552139429524644
25,10.0,500,Unstable,18,0.34967320261437906,2.0,0.028630570114931156
26,10.0,500,High certificate,0,,,
26,10.0,500,Boundary,1,0.43478260869565216,3.0,0.06012260291297619
26,10.0,500,Unstable,26,0.31101511879049676,2.0,0.0296541061206905
27,10.0,500,High certificate,0,,,
27,10.0,500,Boundary,5,0.3048780487804878,5.0,0.062132483441513724
27,10.0,500,Unstable,22,0.4250559284116331,2.0,0.026690083948372488
28,10.0,500,High certificate,0,,,
28,10.0,500,Boundary,8,0.6280487804878049,4.0,0.0929321816154256
28,10.0,500,Unstable,19,0.3810810810810811,3.0,0.02949542742305682
29,10.0,500,High certificate,1,0.6666666666666666,8.0,0.20033469474599827
29,10.0,500,Boundary,14,0.4723127035830619,1.5,0.08456073444659762
29,10.0,500,Unstable,12,0.34080717488789236,2.0,0.033570597704115177
30,10.0,500,High certificate,0,,,
30,10.0,500,Boundary,6,0.5223880597014925,2.5,0.0687858066152022
30,10.0,500,Unstable,21,0.41189931350114417,2.0,0.03980974615779445
31,10.0,500,High certificate,0,,,
31,10.0,500,Boundary,3,0.3409090909090909,6.0,0.09153036852759411
