rep,alpha,draws,group,cells,damage_rate,median_support,median_boundary_excess
0,10.0,200,High certificate,0,,,
0,10.0,200,Boundary,8,0.5058139534883721,4.5,0.0582191390001366
0,10.0,200,Unstable,19,0.2532467532467532,2.0,0.034980132971063525
1,10.0,200,High certificate,0,,,
1,10.0,200,Boundary,10,0.5462184873949579,1.5,0.0654167766292483
1,10.0,200,Unstable,17,0.41944444444444445,2.0,0.028076779035139374
2,10.0,200,High certificate,0,,,
2,10.0,200,Boundary,9,0.3674698795180723,5.0,0.08410067369428437
2,10.0,200,Unstable,18,0.264026402640264,1.0,0.03696539305680374
3,10.0,200,High certificate,0,,,
3,10.0,200,Boundary,5,0.5416666666666666,3.0,0.0856552133287713
3,10.0,200,Unstable,22,0.20215633423180593,2.5,0.025473882490249018
4,10.0,200,High certificate,0,,,
4,10.0,200,Boundary,11,0.5210084033613446,3.0,0.07627406124112693
4,10.0,200,Unstable,16,0.3622641509433962,2.0,0.03670062151460782
5,10.0,200,High certificate,0,,,
5,10.0,200,Boundary,5,0.27906976744186046,2.0,0.05922369243109332
5,10.0,200,Unstable,22,0.24545454545454545,2.5,0.02920437912794266
6,10.0,200,High certificate,0,,,
6,10.0,200,Boundary,7,0.4,2.0,0.06916048384249798
6,10.0,200,Unstable,20,0.37026239067055394,0.5,0.03396150335642116
7,10.0,200,High certificate,0,,,
7,10.0,200,Boundary,5,0.4827586206896552,3.0,0.0680545189648872
7,10.0,200,Unstable,22,0.32590529247910865,2.0,0.030296004531002306
8,10.0,200,High certificate,0,,,
8,10.0,200,Boundary,6,0.611764705882353,7.0,0.1353622489739231
8,10.0,200,Unstable,21,0.27671232876712326,2.0,0.03466741905156662
9,10.0,200,High certificate,0,,,
9,10.0,200,Boundary,6,0.4642857142857143,7.0,0.0897397487794484
9,10.0,200,Unstable,21,0.33248081841432225,2.0,0.028173268221416654
