scenario,scenario_label,method,capture,lift,brier,oracle_regret,membership_error,lift_sd
annual_drift,Annual distribution drift,Lower credible bound,0.11168898626530893,2.230456533969106,0.02224976498496456,0.05656137055584132,,0.11822160817548438
annual_drift,Annual distribution drift,Direct cell,0.11126216562194209,2.221692103115128,0.035033212942058946,0.07018525029861718,,0.20362655473770025
annual_drift,Annual distribution drift,Membership top-k,0.10741096697511358,2.1449410393613477,0.021076733288297973,0.06803974010605428,0.011547536206624125,0.07870619911378188
annual_drift,Annual distribution drift,Boundary-product top-k,0.10570639728751859,2.1108695763379193,0.03452253357738579,0.07157389785589933,0.011547536206624125,0.07528543067318665
annual_drift,Annual distribution drift,Hierarchical shrinkage,0.10348808723594055,2.0668336944764354,0.01188754870716375,0.06671753787419706,0.011547536206624125,0.26170275219851136
annual_drift,Annual distribution drift,Upper credible bound,0.10164762751472343,2.029780081059753,0.02225623055699887,0.07059972519029926,,0.15229805289309323
annual_drift,Annual distribution drift,Laplace cell,0.09661490688946195,1.929056920304732,0.05128795166837196,0.0820015915390142,,0.5600166542275359
annual_drift,Annual distribution drift,Thompson top-k,0.08289997273171663,1.6553716473156974,0.01836319046220496,0.10320320721242465,,0.16129126611204533
annual_drift,Annual distribution drift,Parent cell,0.06681854068962773,1.3342285429702543,0.013533238590558631,0.1026910602278232,,0.26478821234829875
burden_damage_divergence,Burden-damage divergence,Lower credible bound,0.15537883147001785,3.1013925133131592,0.017534139060661945,0.03978451491777673,,0.7672338373089529
burden_damage_divergence,Burden-damage divergence,Upper credible bound,0.15281668815009497,3.050394237232575,0.022532236162558988,0.039606780338903684,,0.7251658593878251
burden_damage_divergence,Burden-damage divergence,Hierarchical shrinkage,0.15258080296797324,3.0455268059832137,0.00909979992114114,0.03773420281391472,0.011364004469625438,0.6888738710424811
burden_damage_divergence,Burden-damage divergence,Membership top-k,0.14897910605568906,2.97357120743481,0.018977884414418056,0.04226615244613185,0.011364004469625438,0.7416634673090531
burden_damage_divergence,Burden-damage divergence,Boundary-product top-k,0.1461977212333613,2.9181865302793994,0.03134802120513929,0.04290483562023722,0.011364004469625438,0.7984534475281614
burden_damage_divergence,Burden-damage divergence,Parent cell,0.13624295465969086,2.719459381571733,0.010822293538263694,0.05624703193913794,,0.872953817172726
burden_damage_divergence,Burden-damage divergence,Direct cell,0.12139502918406901,2.422529096495543,0.03388620598685462,0.06291879045236855,,0.3624930600765715
burden_damage_divergence,Burden-damage divergence,Thompson top-k,0.11602689016786676,2.316104996510004,0.016064774970240173,0.07920101708329479,,0.8721202756616278
