rule,capacity,test_years,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,hard_consequence_capture,cost_capture,aos_capture,annual_lift_mean,annual_lift_p05,annual_lift_min,annual_lift_sd
catboost,0.01,31,273838,22992,2752,2116,0.09203201113430759,0.7688953488372093,0.08396205055543789,9.15765329396676,0.04571645322688438,0.1441216758357199,0.3128773548347187,9.050956617183884,4.250255310457517,4.039246467817897,3.0739595053266435
ridge_logistic,0.01,31,273838,22992,2752,2108,0.09168406402226861,0.7659883720930233,0.08396205055543789,9.123030786239097,0.045391326337084335,0.14618499097113305,0.3106162956226182,9.016241698501384,4.318637663398693,4.039246467817897,3.013838842799254
lightgbm,0.01,31,273838,22992,2752,2096,0.09116214335421016,0.7616279069767442,0.08396205055543789,9.071097024647603,0.04517457507721764,0.1671590081708593,0.2884431629970874,8.978997605702961,4.2340690202363,4.2075484039769755,2.9322466776626777
xgboost,0.01,31,273838,22992,2752,2064,0.08977035490605428,0.75,0.08396205055543789,8.932606993736952,0.04548163936202879,0.15240008665830387,0.3095651800744839,8.820483534111089,4.318637663398693,4.039246467817897,2.792160424966531
tabm,0.01,31,273838,22992,2752,1995,0.08676931106471816,0.7249273255813954,0.08396205055543789,8.633987864585862,0.04521070028719542,0.10181274056589479,0.32669527097362944,8.534381113154849,4.134432807444576,3.870944531658817,2.7129205716596467
bayesian_posterior_mean,0.01,31,273838,22992,2752,1955,0.08502957550452331,0.7103924418604651,0.08396205055543789,8.46087532594755,0.04250130953886169,0.2187628436303239,0.22737736908030562,8.365023996497978,4.064273295059672,3.029434850863422,2.9027469703729016
hierarchical_eb_execution,0.01,31,273838,22992,2752,1955,0.08502957550452331,0.7103924418604651,0.08396205055543789,8.46087532594755,0.04250130953886169,0.2187628436303239,0.22737736908030562,8.365023996497978,4.064273295059672,3.029434850863422,2.9027469703729016
membership_probability,0.01,31,273838,22992,2752,1953,0.08494258872651357,0.7096656976744186,0.08396205055543789,8.452219699015632,0.04255549735382837,0.20120504210733878,0.2164114289749555,8.358960030859816,4.092484363121155,3.5343406593406597,2.8539973226650712
membership_x_boundary_excess,0.01,31,273838,22992,2752,1929,0.08389874739039666,0.7009447674418605,0.08396205055543789,8.348352175832646,0.042121994834094977,0.1484444761800294,0.21312104056385178,8.243732440107115,3.9156697693591225,3.5343406593406597,2.8409011750520463
boundary_excess,0.01,31,273838,22992,2752,1921,0.08355080027835769,0.6980377906976745,0.08396205055543789,8.313729668104983,0.042103932229106085,0.14284624454558525,0.21633658441969028,8.205811877380327,3.9156697693591225,3.5343406593406597,2.8275302530273008
random_forest,0.01,31,273838,22992,2752,1912,0.08315935977731385,0.6947674418604651,0.08396205055543789,8.274779346911362,0.0418510557592616,0.14090713646360792,0.3001034076284221,8.192163831620693,4.293020665664788,3.870944531658817,2.433312064051883
