candidate_rule,candidate_share,test_years,candidate_units,mean_damage_rate,mean_damage_lift,mean_damage_capture,mean_cost_capture,mean_aos_capture
Boundary-certificate expansion,0.005,31,1382,0.41899813083841425,4.2687031894203855,0.02159328266249406,0.0450528803661387,0.055725219038607186
Boundary-excess expansion,0.005,31,1382,0.4246335926752768,4.3947318013746735,0.022220545319805603,0.046043626377537575,0.06752462773867292
Posterior-mean expansion,0.005,31,1382,0.4235411998424758,4.305255381008554,0.021763271946756292,0.032748151185822895,0.0567242791209815
Random unselected expansion,0.005,31,1382,0.0813574067095092,0.7236411534186635,0.0036638437158744365,0.005790270540373254,0.005613615341367223
Boundary-certificate expansion,0.01,31,2752,0.4258717852214774,4.313040518614606,0.043398665255525194,0.0702209288891181,0.1288253546096273
Boundary-excess expansion,0.01,31,2752,0.42935816199215476,4.339989140082848,0.04366854316762672,0.07412707277814379,0.14123121984188322
Posterior-mean expansion,0.01,31,2752,0.42989898404987614,4.3338558130073705,0.043607528075021225,0.08146484185560851,0.10972108382850085
Random unselected expansion,0.01,31,2752,0.08034708503426426,0.7171516193413862,0.007222523750109871,0.01089079718325695,0.01124247396816096
Boundary-certificate expansion,0.02,31,5492,0.4133077462549543,4.155554903361348,0.08336624431617096,0.14272513560057404,0.23585373908420787
Boundary-excess expansion,0.02,31,5492,0.4025037116946683,4.04825652732795,0.08121429097955554,0.13795811947388992,0.24403397598071447
Posterior-mean expansion,0.02,31,5492,0.41250976366437625,4.169481615985318,0.08364773379653462,0.1617539905086934,0.19948879190584834
Random unselected expansion,0.02,31,5492,0.08064891174133504,0.7192477819838503,0.014430637465435723,0.021885942828767352,0.02183880486692048
Boundary-certificate expansion,0.05,31,13706,0.3559982700684776,3.4758690960851317,0.17402159628572578,0.24210508580729517,0.35959594879069384
Boundary-excess expansion,0.05,31,13706,0.3480039078919492,3.4015290302504004,0.1702990330753148,0.2215972560940256,0.36274643807086954
Posterior-mean expansion,0.05,31,13706,0.3660731672037961,3.6182232969337256,0.18114551448765526,0.2767233744223327,0.33020859659700635
Random unselected expansion,0.05,31,13706,0.080176060763331,0.7131768961482651,0.03571001987239477,0.054148165193664506,0.05323459866466077
