test_year,capacity,certificate_group,units,damage_units,selected_units,selected_damage_units,total_damage_units,selected_cost,total_cost,selected_aos,total_aos,median_support,median_boundary_excess
1995,0.05,High certificate,36,28,129,98,588,551035.0,50556490.0,2738.0,9192.5,40.0,0.1359167539774768
1995,0.05,Boundary,93,70,129,98,588,8349118.0,50556490.0,2054.0,9192.5,19.0,0.07532498694033106
1995,0.05,Unstable,0,0,129,98,588,0,50556490.0,0,9192.5,0.0,0.0
1995,0.1,High certificate,97,70,258,172,588,8729973.0,50556490.0,4278.0,9192.5,26.0,0.22210776170346094
1995,0.1,Boundary,160,101,258,172,588,16578165.0,50556490.0,3344.0,9192.5,281.0,0.004918136706686044
1995,0.1,Unstable,1,1,258,172,588,0.0,50556490.0,48.0,9192.5,11.0,0.04012020850010398
1996,0.05,High certificate,28,26,127,102,576,265626.0,10811456.0,3239.0,19764.0,26.0,0.18406874511965907
1996,0.05,Boundary,99,76,127,102,576,1618533.0,10811456.0,9021.0,19764.0,20.0,0.06163934978258449
1996,0.05,Unstable,0,0,127,102,576,0,10811456.0,0,19764.0,0.0,0.0
1996,0.1,High certificate,123,99,254,179,576,1867858.0,10811456.0,10628.0,19764.0,26.0,0.20824443643821536
1996,0.1,Boundary,87,52,254,179,576,772491.0,10811456.0,6926.5,19764.0,18.0,0.06304832902863237
1996,0.1,Unstable,44,28,254,179,576,3263132.0,10811456.0,449.0,19764.0,320.0,0.0
1997,0.05,High certificate,57,49,163,126,701,467772.0,15049883.0,6881.0,41979.0,23.0,0.20429807528713728
1997,0.05,Boundary,97,69,163,126,701,6677914.0,15049883.0,6722.0,41979.0,26.0,0.05316678650441128
1997,0.05,Unstable,9,8,163,126,701,83483.0,15049883.0,2190.0,41979.0,15.0,0.03131593186584755
1997,0.1,High certificate,114,97,325,227,701,5990532.0,15049883.0,10861.0,41979.0,26.0,0.22212081567729497
1997,0.1,Boundary,211,130,325,227,701,4902684.0,15049883.0,12606.0,41979.0,34.0,0.045401451881746456
1997,0.1,Unstable,0,0,325,227,701,0,15049883.0,0,41979.0,0.0,0.0
1998,0.05,High certificate,92,82,168,146,720,16542071.0,37470425.0,7343.0,24471.25,36.0,0.15579083993687204
