rule,capacity,test_years,selected_damage_units,damage_units,damage_capture,damage_lift,brier_score,log_loss,expected_calibration_error,fallback_share
Direct full cell,0.05,31,7093,22992,0.30849860821155184,6.163624826749959,0.05807094484154467,0.2041774670788732,0.005930663558059432,0.0
EB component,0.05,31,3573,22992,0.15540187891440502,3.1048401954007616,0.07037314875603051,0.2565061006588995,0.013164146865816875,0.0
EB component-phase,0.05,31,4747,22992,0.20646311760612387,4.12501438778825,0.0678492088952945,0.24488411037985375,0.011951699993883985,0.00014592149423610097
EB component-phase-size,0.05,31,6992,22992,0.30410577592205984,6.075858563179996,0.0586447275976475,0.20725461668057507,0.006653782177673966,0.0023347439077776155
Full hierarchy,0.05,31,7423,22992,0.32285142658315935,6.450385885938946,0.05668680947024493,0.2012762596692173,0.006336283676287235,0.013716620458193492
Full hierarchy with certificates,0.05,31,7423,22992,0.32285142658315935,6.450385885938946,0.05668680947024493,0.2012762596692173,0.006336283676287235,0.013716620458193492
Direct full cell,0.1,31,11251,22992,0.48934411969380653,4.8914405931269425,0.05807094484154467,0.2041774670788732,0.005930663558059432,0.0
EB component,0.1,31,5733,22992,0.24934759916492694,2.4924565745619733,0.07037314875603051,0.2565061006588995,0.013164146865816875,0.0
EB component-phase,0.1,31,7685,22992,0.3342466945024356,3.3411004317998896,0.0678492088952945,0.24488411037985375,0.011951699993883985,0.0001460120459937945
EB component-phase-size,0.1,31,10987,22992,0.4778618649965205,4.77666498948411,0.0586447275976475,0.20725461668057507,0.006653782177673966,0.0023726957473991605
Full hierarchy,0.1,31,11585,22992,0.5038709116214335,5.036649121978102,0.05668680947024493,0.2012762596692173,0.006336283676287235,0.014345683518890309
Full hierarchy with certificates,0.1,31,11585,22992,0.5038709116214335,5.036649121978102,0.05668680947024493,0.2012762596692173,0.006336283676287235,0.014345683518890309


