test_year,rule,capacity,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,cost_capture,aos_capture,fallback_share
1995,Direct full cell,0.05,2573,588,129,80,0.1360544217687075,0.6201550387596899,0.22852701127089,2.713705637293677,0.04758631384417708,0.39282023388632037,0.0
1995,Direct full cell,0.1,2573,588,258,161,0.27380952380952384,0.624031007751938,0.22852701127089,2.7306662975267626,0.6106774026440522,0.6106064726679358,0.0
1995,EB component,0.05,2573,588,129,71,0.12074829931972789,0.5503875968992248,0.22852701127089,2.4084137530981384,0.2653738026512521,0.14707642099537666,0.0
1995,EB component,0.1,2573,588,258,115,0.195578231292517,0.44573643410852715,0.22852701127089,1.9504759268048306,0.6540163884003815,0.18852325265161818,0.0
1995,EB component-phase,0.05,2573,588,129,77,0.13095238095238096,0.5968992248062015,0.22852701127089,2.611941675895164,0.16556637931153845,0.09496872450367147,0.0
1995,EB component-phase,0.1,2573,588,258,132,0.22448979591836735,0.5116279069767442,0.22852701127089,2.238807150767284,0.32742900070792097,0.2659776992113136,0.0
1995,EB component-phase-size,0.05,2573,588,129,95,0.16156462585034015,0.7364341085271318,0.22852701127089,3.2225254442862417,0.1757660193577521,0.48191460429698124,0.007751937984496124
1995,EB component-phase-size,0.1,2573,588,258,176,0.29931972789115646,0.6821705426356589,0.22852701127089,2.9850762010230447,0.49335017126386743,0.5573021484906173,0.003875968992248062
1995,Full hierarchy,0.05,2573,588,129,98,0.16666666666666666,0.7596899224806202,0.22852701127089,3.3242894056847545,0.1758077548500697,0.48191460429698124,0.03875968992248062
1995,Full hierarchy,0.1,2573,588,258,172,0.2925170068027211,0.6666666666666666,0.22852701127089,2.9172335600907027,0.4876532765625145,0.5184661408757139,0.01937984496124031
1995,Full hierarchy with certificates,0.05,2573,588,129,98,0.16666666666666666,0.7596899224806202,0.22852701127089,3.3242894056847545,0.1758077548500697,0.48191460429698124,0.03875968992248062
1995,Full hierarchy with certificates,0.1,2573,588,258,172,0.2925170068027211,0.6666666666666666,0.22852701127089,2.9172335600907027,0.4876532765625145,0.5184661408757139,0.01937984496124031
1996,Direct full cell,0.05,2533,576,127,97,0.1684027777777778,0.7637795275590551,0.2273983418870904,3.3587735126859144,0.35952909580356246,0.5503187613843351,0.0
1996,Direct full cell,0.1,2533,576,254,169,0.2934027777777778,0.6653543307086615,0.2273983418870904,2.9259418744531938,0.5326045816585666,0.6320076907508602,0.0
1996,EB component,0.05,2533,576,127,71,0.1232638888888889,0.5590551181102362,0.2273983418870904,2.458483705161855,0.29136621376436256,0.21812386156648453,0.0
1996,EB component,0.1,2533,576,254,132,0.22916666666666666,0.5196850393700787,0.2273983418870904,2.2853510498687664,0.5486580160895997,0.3225814612426634,0.0
1996,EB component-phase,0.05,2533,576,127,84,0.14583333333333334,0.6614173228346457,0.2273983418870904,2.908628608923885,0.4295077369782571,0.13949605343047966,0.0
